id;name;street;city;zipcode;floors;year;parking;prob_price;views
504507;Замок 49;Речная улица 50;Тирана;224473;1;2001;True;730709949;5234
190153;Офис 59;Солнечная улица 65;Куэнка;726246;4;2020;False;756018098;4880
543517;Почта 19;Петербургская улица 100;Сантьяго-де-Компостела;862678;7;1807;False;979599217;37055
350024;Борть 53;Лесная улица 61;Семана;308611;8;1864;True;651301532;51085
925722;Школа 1;Минская улица 52;Ла-Корунья;669816;9;1807;False;975082176;59405
106950;Конюшня 93;Речная улица 90;Хихон;587160;5;1767;True;356208780;97808
876751;Док 27;Парковая улица 4;Авилес;424506;1;1791;True;617794321;29383
811647;Развязка 56;Петербургская улица 81;Навалькарнеро;684420;10;1639;False;245379018;17061
387055;Ламарий 81;Минская улица 64;Виго;706390;5;1658;True;770852930;67887
201481;Канализация 79;Осенняя улица 94;Баку;531874;10;1839;False;543117256;36872
184810;Эскалатор 40;Весенняя улица 53;Москва;610409;4;1764;False;557516761;34143
826482;Вокзал 76;Вроцлавская улица 17;Астана;421030;10;1952;False;117736035;42234
945147;Торговый центр 61;Школьная улица 96;Кишинев;181614;7;2002;True;91328365;70069
452136;Развязка 93;Парковая улица 24;Сан-Себастьян;739266;4;1789;True;522825891;62459
914229;Мушиный лабиринт 50;Школьная улица 41;Вроцлав;977480;10;1653;True;217655050;56351
616927;Электростанция 89;Солнечная улица 53;Авилес;540122;1;1644;True;986955082;73471
343978;Школа 99;Вроцлавская улица 94;Фигерас;114753;4;1819;True;493054826;66866
348946;Пирс 68;Юбилейная улица 21;Кордова;660856;3;1987;True;365133288;95677
888037;Особняк 88;Вроцлавская улица 44;София;153874;2;1739;False;724878061;83000
390083;Театр 81;Минская улица 14;Сантьяго-де-Компостела;983987;5;1830;True;745326261;58642
518466;Виадук 51;Садовая улица 97;Самора;516586;8;1866;False;293333623;22963
894689;Свиноферма 82;Морская улица 48;Рига;620691;5;1614;False;42832974;71635
552857;Плантация 95;Парковая улица 21;Хихон;418722;8;1967;True;452737565;4418
341924;Утятник 33;Киевская улица 12;Астана;500202;9;1605;False;378578454;48628
507515; Вилла 66;Зеленая улица 3;Вильнюс;178744;10;1727;True;308275295;58963
602281;Конюшня 83;Школьная улица 11;Бильбао;555491;7;1863;False;903887552;51821
621019;Крольчатник 72;Зеленая улица 79;Малага;153485;1;1659;False;933956033;5126
282938;Свиноферма 24;Петербургская улица 61;Фигерас;682181;4;2008;False;673256391;68029
983608;Нефтепровод 17;Весенняя улица 12;Мартоса;682511;3;2001;True;532672187;26916
781467;Аптека 88;Осенняя улица 85;Варшава;747843;1;1857;False;592417126;90716
576761;Ресторан 84;Зеленая улица 69;Кордова;878383;2;1675;True;740835868;20766
229524;Аэропорт 85;Морская улица 35;Овьедо;459389;9;1623;True;626970396;42575
913247;Банк 64;Зеленая улица 4;Бланес;900415;2;1608;False;231797013;36705
993927;Аэропорт 74;Весенняя улица 28;София;188593;10;1841;False;185156624;80193
356650;Шале 55;Варшавская улица 17;Прага;383985;10;1892;False;284985603;97440
173719;Кубло 15;Зеленая улица 73;Астана;910409;1;1895;True;904835924;54470
727730;Термитник 82;Петербургская улица 97;Вальядолид;140123;6;1745;False;840659185;91460
994349;Торговый центр 36;Солнечная улица 46;Вильявисиоса;690264;6;1610;False;39727412;71855
775782;Термитник 28;Петербургская улица 57;Сараево;839050;5;1960;True;587430537;41055
959224;Бункер 46;Летняя улица 29;Монсон;479290;3;1686;False;646439099;86294
880730;Мостки 44;Юбилейная улица 21;Семана;370344;3;1915;False;204331890;73975
380326;Теплотрасса 38;Московская улица 46;Ташкент;661310;3;1776;True;309989519;24625
790726;Утятник 20;Минская улица 38;Сан-Себастьян;236775;10;1746;False;97482244;6908
361550;Парк 55;Лесная улица 37;Мадрид;866672;4;1785;False;773741228;40537
128536;Гнездо 49;Минская улица 98;Москва;696471;9;1775;True;872278564;26452
800279;Мост 35;Горная улица 88;Краков;330427;9;1824;True;610073628;83707
364130;Коровник 31;Зеленая улица 81;Монсон;404789;7;1692;False;781442361;98997
173364;Автомойка 49;Речная улица 72;Куэнка;202367;9;1935;False;107910560;55124
715356;Пирс 25;Осенняя улица 12;Сараево;235209;3;1810;True;23261368;66647
814042;Жилой дом 75;Парковая улица 65;Загреб;593011;8;1875;True;170124770;33929
346954;Банк 52;Речная улица 98;Будапешт;761573;5;1804;True;334699468;78605
824858;Йодль 3;Летняя улица 24;Сантьяго-де-Компостела;972052;4;1703;True;667385575;9230
800364;Крольчатник 46;Спортивная улица 18;Санхенхо;130496;10;1789;False;725306081;55518
763664;Банк 43;Центральная улица 25;Баку;608116;5;1770;True;692429892;43649
782559;Ферма 74;Лесная улица 31;Тудела;207142;8;1648;True;28446804;52252
814532;Хаус 24;Летняя улица 86;Белград;459708;6;1952;False;193963546;12974
551722;Детский сад 30;Юбилейная улица 33;Тбилиси;438479;3;1965;False;955002948;4979
184583;Отель 31;Школьная улица 79;Рига;199105;10;1627;True;755706399;15695
110229;Коттедж 22;Московская улица 37;Ташкент;930604;2;1804;False;951790679;19745
539506;Библиотека 95;Солнечная улица 25;Хихон;427599;8;1706;True;267936413;95276
791003;Плантация 68;Солнечная улица 49;Вальядолид;735584;3;1946;True;285742262;1480
947504;Склад 98;Полевая улица 42;Краков;960042;1;1664;True;66360717;9281
499846;Нефтепровод 97;Вроцлавская улица 67;Хихон;388256;6;1675;False;683294807;75416
937394;Дворец 70;Парковая улица 54;Авилес;351137;5;1707;False;266680772;99925
839663;Завод 19;Осенняя улица 31;Сан-Себастьян;567712;6;1897;True;805744381;84599
355611;Академия 37;Парковая улица 16;Трухильо;278353;4;1903;True;498018182;75887
506199;Аэропорт 13;Юбилейная улица 73;Вроцлав;666056;4;1765;True;193935583;10797
337985;Усадьба 74;Зимняя улица 92;Луго;745927;3;1659;True;139689747;8947
244866;Лифт 91;Садовая улица 90;Эльче;265673;10;1627;True;554295865;58217
582747;Театр 59;Морская улица 90;Мадрид;236455;7;1816;True;870231059;32866
612886;Утятник 81;Зимняя улица 32;Бургос;554199;3;1895;False;51731590;59254
128773;Котельная 83;Спортивная улица 26;Эльче;135229;1;1808;False;756404464;4546
725943;Шмелиное гнездо 26;Солнечная улица 80;Фигерас;793580;3;1620;True;825189503;56345
618809;Верфь 35;Краковская улица 26;Картахена;425132;4;1929;False;833981792;58159
189365;Пандус 16;Зимняя улица 91;Осера;119096;5;1991;False;789051868;4498
508791;Котельная 22;Речная улица 47;Мурсия;276142;6;1809;False;860420353;18533
457372;Пасека 8;Летняя улица 50;Луарка;334001;3;1748;True;271938032;89081
469125;Убежище 25;Летняя улица 26;Пласенсия;406194;4;1879;True;256403312;2964
925881;Школа 38;Юбилейная улица 83;Москва;246949;6;1927;True;442487329;55611
314855; Вилла 63;Спортивная улица 45;София;911249;1;1854;True;575991099;88370
879541;Магазин 91;Парковая улица 90;Севилья;576525;5;1831;False;845929270;22022
945969;Маяк 71;Лесная улица 20;Эльче;489680;3;1808;False;815387969;65134
978745;Пасека 24;Зеленая улица 55;Вальядолид;210773;5;1649;True;550171916;37352
293921;Дуплянка 84;Садовая улица 57;Сеговия;378768;8;1734;False;738239462;94490
740221;Нора 29;Морская улица 2;Пласенсия;349826;7;1637;False;546808734;27419
736553;Гусятник 11;Краковская улица 76;Варшава;650883;4;1909;True;660030899;25692
406704;Убежище 97;Летняя улица 71;Вильявисиоса;871343;3;1883;False;362305811;20525
589704;Банк 1;Лесная улица 93;Кордова;528149;1;2007;True;632322027;98132
468345;Замок 86;Садовая улица 59;Бильбао;395236;10;1921;True;725509548;76483
865897;Волчатник 12;Петербургская улица 76;Ташкент;438777;2;1914;True;332578078;45446
925314;Тоннель 51;Минская улица 63;Фигерас;529836;1;1850;False;146808779;48420
968509;Сеть 2;Центральная улица 75;Осера;530098;4;1995;True;75197925;28072
116317;Подвал 62;Солнечная улица 41;Любляна;488360;1;1952;True;403137184;20484
728000;Волчатник 29;Парковая улица 39;Вильнюс;844845;9;1732;False;31607156;76150
